id,ativo,usado,data_ativacao,data_entrada;;id;ativo;usado;data ativação;data entrada;;;;;;bilhetes não usados;
"EVT-A1P731LR,TRUE,TRUE,""16/05/2026, 14:05:50"",""16/05/2026, 14:09:45""";;EVT-A1P731LR;TRUE,;TRUE,;16/05/2026, 14:05:50;16/05/2026, 14:09:45;13;18;23;46;;;0
EVT-A5VTTZW2,FALSE,FALSE,,;;EVT-A5VTTZW2;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-ABJ0TM12,TRUE,TRUE,""15/05/2026, 13:59:02"",""15/05/2026, 14:00:26""";;EVT-ABJ0TM12;TRUE,;TRUE,;15/05/2026, 13:59:02;15/05/2026, 14:00:26;13;18;23;46;;;0
"EVT-AD64826Y,TRUE,TRUE,""14/05/2026, 17:27:08"",""15/05/2026, 12:31:44""";;EVT-AD64826Y;TRUE,;TRUE,;14/05/2026, 17:27:08;15/05/2026, 12:31:44;13;18;23;46;;;0
EVT-ADBNHCMK,FALSE,FALSE,,;;EVT-ADBNHCMK;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-AE8Z6P7A,TRUE,TRUE,""14/05/2026, 17:51:28"",""15/05/2026, 15:00:06""";;EVT-AE8Z6P7A;TRUE,;TRUE,;14/05/2026, 17:51:28;15/05/2026, 15:00:06;13;18;23;46;;;0
EVT-AERVKAYX,FALSE,FALSE,,;;EVT-AERVKAYX;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-AM1N3GM9,TRUE,TRUE,""15/05/2026, 11:52:14"",""16/05/2026, 20:30:17""";;EVT-AM1N3GM9;TRUE,;TRUE,;15/05/2026, 11:52:14;16/05/2026, 20:30:17;13;18;23;46;;;0
EVT-AQR5HWKS,FALSE,FALSE,,;;EVT-AQR5HWKS;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-AY2EOGVT,FALSE,FALSE,,;;EVT-AY2EOGVT;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-B0LT4FTE,FALSE,FALSE,,;;EVT-B0LT4FTE;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-B0Z5X5XT,FALSE,FALSE,,;;EVT-B0Z5X5XT;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-B1EMUCQ7,FALSE,FALSE,,;;EVT-B1EMUCQ7;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-B2XGW1GI,TRUE,FALSE,""14/05/2026, 17:31:33"",";;EVT-B2XGW1GI;TRUE,;FALSE,;14/05/2026, 17:31:33;;13;18;24;47;;EVT-B2XGW1GI;0
"EVT-B9G5KJC6,TRUE,TRUE,""14/05/2026, 17:49:57"",""15/05/2026, 14:23:50""";;EVT-B9G5KJC6;TRUE,;TRUE,;14/05/2026, 17:49:57;15/05/2026, 14:23:50;13;18;23;46;;;0
"EVT-B9K35QRZ,TRUE,TRUE,""14/05/2026, 17:39:48"",""16/05/2026, 14:26:34""";;EVT-B9K35QRZ;TRUE,;TRUE,;14/05/2026, 17:39:48;16/05/2026, 14:26:34;13;18;23;46;;;0
"EVT-BDNYLNOG,TRUE,TRUE,""14/05/2026, 17:47:26"",""17/05/2026, 12:47:20""";;EVT-BDNYLNOG;TRUE,;TRUE,;14/05/2026, 17:47:26;17/05/2026, 12:47:20;13;18;23;46;;;0
EVT-BFXWKRFO,FALSE,FALSE,,;;EVT-BFXWKRFO;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-BH6R7FZO,TRUE,TRUE,""17/05/2026, 12:58:24"",""17/05/2026, 12:58:37""";;EVT-BH6R7FZO;TRUE,;TRUE,;17/05/2026, 12:58:24;17/05/2026, 12:58:37;13;18;23;46;;;0
"EVT-BHP6Z1RI,TRUE,TRUE,""16/05/2026, 14:05:59"",""16/05/2026, 14:09:38""";;EVT-BHP6Z1RI;TRUE,;TRUE,;16/05/2026, 14:05:59;16/05/2026, 14:09:38;13;18;23;46;;;0
EVT-BKD3EWI5,FALSE,FALSE,,;;EVT-BKD3EWI5;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-BKKC0MGV,TRUE,TRUE,""14/05/2026, 11:52:13"",""16/05/2026, 13:02:48""";;EVT-BKKC0MGV;TRUE,;TRUE,;14/05/2026, 11:52:13;16/05/2026, 13:02:48;13;18;23;46;;;0
"EVT-BKPLMCLA,TRUE,TRUE,""15/05/2026, 13:58:59"",""15/05/2026, 14:00:31""";;EVT-BKPLMCLA;TRUE,;TRUE,;15/05/2026, 13:58:59;15/05/2026, 14:00:31;13;18;23;46;;;0
"EVT-BN9IUKP7,TRUE,TRUE,""14/05/2026, 17:26:48"",""15/05/2026, 15:06:51""";;EVT-BN9IUKP7;TRUE,;TRUE,;14/05/2026, 17:26:48;15/05/2026, 15:06:51;13;18;23;46;;;0
EVT-BQXKXVNT,FALSE,FALSE,,;;EVT-BQXKXVNT;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-BV66K4TB,TRUE,TRUE,""14/05/2026, 17:51:20"",""15/05/2026, 14:59:02""";;EVT-BV66K4TB;TRUE,;TRUE,;14/05/2026, 17:51:20;15/05/2026, 14:59:02;13;18;23;46;;;0
EVT-BYQCW8NT,FALSE,FALSE,,;;EVT-BYQCW8NT;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-BZDSIZR3,TRUE,TRUE,""15/05/2026, 11:52:11"",""16/05/2026, 20:30:12""";;EVT-BZDSIZR3;TRUE,;TRUE,;15/05/2026, 11:52:11;16/05/2026, 20:30:12;13;18;23;46;;;0
EVT-C0VF1TR8,FALSE,FALSE,,;;EVT-C0VF1TR8;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-C3AEWBBW,FALSE,FALSE,,;;EVT-C3AEWBBW;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-C7GJ33JB,FALSE,FALSE,,;;EVT-C7GJ33JB;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-C8CNWSK2,FALSE,FALSE,,;;EVT-C8CNWSK2;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-C9HFK0D6,FALSE,FALSE,,;;EVT-C9HFK0D6;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-CDSXXBML,TRUE,TRUE,""14/05/2026, 17:31:29"",""16/05/2026, 13:37:10""";;EVT-CDSXXBML;TRUE,;TRUE,;14/05/2026, 17:31:29;16/05/2026, 13:37:10;13;18;23;46;;;0
"EVT-CFEX2ULL,TRUE,TRUE,""14/05/2026, 17:49:53"",""15/05/2026, 14:23:03""";;EVT-CFEX2ULL;TRUE,;TRUE,;14/05/2026, 17:49:53;15/05/2026, 14:23:03;13;18;23;46;;;0
"EVT-CLH0VQRZ,TRUE,TRUE,""14/05/2026, 17:39:42"",""16/05/2026, 13:37:33""";;EVT-CLH0VQRZ;TRUE,;TRUE,;14/05/2026, 17:39:42;16/05/2026, 13:37:33;13;18;23;46;;;0
"EVT-CO3OKB8M,TRUE,TRUE,""14/05/2026, 17:47:22"",""17/05/2026, 12:49:19""";;EVT-CO3OKB8M;TRUE,;TRUE,;14/05/2026, 17:47:22;17/05/2026, 12:49:19;13;18;23;46;;;0
"EVT-CRRQO9FL,TRUE,TRUE,""16/05/2026, 12:43:15"",""16/05/2026, 13:02:20""";;EVT-CRRQO9FL;TRUE,;TRUE,;16/05/2026, 12:43:15;16/05/2026, 13:02:20;13;18;23;46;;;0
"EVT-CUVU3OYR,TRUE,TRUE,""17/05/2026, 12:57:33"",""17/05/2026, 12:59:19""";;EVT-CUVU3OYR;TRUE,;TRUE,;17/05/2026, 12:57:33;17/05/2026, 12:59:19;13;18;23;46;;;0
"EVT-CVKQP4E8,TRUE,TRUE,""16/05/2026, 14:06:21"",""16/05/2026, 14:09:28""";;EVT-CVKQP4E8;TRUE,;TRUE,;16/05/2026, 14:06:21;16/05/2026, 14:09:28;13;18;23;46;;;0
EVT-CWR1CH7A,FALSE,FALSE,,;;EVT-CWR1CH7A;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-D059CXIX,FALSE,FALSE,,;;EVT-D059CXIX;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-D1Y9V2NX,TRUE,TRUE,""14/05/2026, 11:52:07"",""16/05/2026, 13:02:53""";;EVT-D1Y9V2NX;TRUE,;TRUE,;14/05/2026, 11:52:07;16/05/2026, 13:02:53;13;18;23;46;;;0
"EVT-D5VPO14R,TRUE,TRUE,""15/05/2026, 13:58:55"",""15/05/2026, 14:00:36""";;EVT-D5VPO14R;TRUE,;TRUE,;15/05/2026, 13:58:55;15/05/2026, 14:00:36;13;18;23;46;;;0
"EVT-D6K887I4,TRUE,FALSE,""14/05/2026, 17:26:45"",";;EVT-D6K887I4;TRUE,;FALSE,;14/05/2026, 17:26:45;;13;18;24;47;;EVT-D6K887I4;0
EVT-D6RWA8O4,FALSE,FALSE,,;;EVT-D6RWA8O4;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-D7T5JI0D,TRUE,TRUE,""15/05/2026, 11:14:46"",""16/05/2026, 13:11:57""";;EVT-D7T5JI0D;TRUE,;TRUE,;15/05/2026, 11:14:46;16/05/2026, 13:11:57;13;18;23;46;;;0
EVT-D8RJNV79,FALSE,FALSE,,;;EVT-D8RJNV79;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-D9WT7PGG,TRUE,TRUE,""16/05/2026, 20:14:11"",""16/05/2026, 20:14:41""";;EVT-D9WT7PGG;TRUE,;TRUE,;16/05/2026, 20:14:11;16/05/2026, 20:14:41;13;18;23;46;;;0
EVT-DCOFTH4H,FALSE,FALSE,,;;EVT-DCOFTH4H;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-DKN6UOMS,FALSE,FALSE,,;;EVT-DKN6UOMS;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-DMZLEXR8,FALSE,FALSE,,;;EVT-DMZLEXR8;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-DNR0MWFW,FALSE,FALSE,,;;EVT-DNR0MWFW;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-DO0COSVH,TRUE,TRUE,""14/05/2026, 17:31:23"",""16/05/2026, 12:22:04""";;EVT-DO0COSVH;TRUE,;TRUE,;14/05/2026, 17:31:23;16/05/2026, 12:22:04;13;18;23;46;;;0
"EVT-DOQU6ZP3,TRUE,TRUE,""14/05/2026, 17:49:49"",""15/05/2026, 14:23:19""";;EVT-DOQU6ZP3;TRUE,;TRUE,;14/05/2026, 17:49:49;15/05/2026, 14:23:19;13;18;23;46;;;0
"EVT-DR8MYUOR,TRUE,TRUE,""14/05/2026, 17:39:39"",""16/05/2026, 13:37:38""";;EVT-DR8MYUOR;TRUE,;TRUE,;14/05/2026, 17:39:39;16/05/2026, 13:37:38;13;18;23;46;;;0
"EVT-DUQLUBSY,TRUE,TRUE,""14/05/2026, 17:47:17"",""17/05/2026, 12:47:25""";;EVT-DUQLUBSY;TRUE,;TRUE,;14/05/2026, 17:47:17;17/05/2026, 12:47:25;13;18;23;46;;;0
"EVT-DY4JOV5Y,TRUE,TRUE,""16/05/2026, 12:43:40"",""16/05/2026, 12:44:27""";;EVT-DY4JOV5Y;TRUE,;TRUE,;16/05/2026, 12:43:40;16/05/2026, 12:44:27;13;18;23;46;;;0
"EVT-E0X8689D,TRUE,TRUE,""17/05/2026, 12:57:27"",""17/05/2026, 12:59:24""";;EVT-E0X8689D;TRUE,;TRUE,;17/05/2026, 12:57:27;17/05/2026, 12:59:24;13;18;23;46;;;0
"EVT-E1MT0ZB0,TRUE,TRUE,""16/05/2026, 14:02:31"",""16/05/2026, 14:03:53""";;EVT-E1MT0ZB0;TRUE,;TRUE,;16/05/2026, 14:02:31;16/05/2026, 14:03:53;13;18;23;46;;;0
EVT-E5DF02P4,FALSE,FALSE,,;;EVT-E5DF02P4;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-E668EPDL,FALSE,FALSE,,;;EVT-E668EPDL;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-E6VFLQ6H,TRUE,TRUE,""14/05/2026, 11:52:01"",""17/05/2026, 14:31:11""";;EVT-E6VFLQ6H;TRUE,;TRUE,;14/05/2026, 11:52:01;17/05/2026, 14:31:11;13;18;23;46;;;0
"EVT-E7L05W8Y,TRUE,FALSE,""15/05/2026, 13:58:51"",";;EVT-E7L05W8Y;TRUE,;FALSE,;15/05/2026, 13:58:51;;13;18;24;47;;EVT-E7L05W8Y;0
"EVT-E85LG3WO,TRUE,TRUE,""14/05/2026, 17:26:34"",""15/05/2026, 13:38:24""";;EVT-E85LG3WO;TRUE,;TRUE,;14/05/2026, 17:26:34;15/05/2026, 13:38:24;13;18;23;46;;;0
"EVT-EAW0M3OJ,TRUE,TRUE,""15/05/2026, 11:14:42"",""15/05/2026, 12:30:43""";;EVT-EAW0M3OJ;TRUE,;TRUE,;15/05/2026, 11:14:42;15/05/2026, 12:30:43;13;18;23;46;;;0
EVT-EK6QJS1O,FALSE,FALSE,,;;EVT-EK6QJS1O;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-EMEJC2Y8,TRUE,TRUE,""15/05/2026, 11:52:07"",""17/05/2026, 12:56:46""";;EVT-EMEJC2Y8;TRUE,;TRUE,;15/05/2026, 11:52:07;17/05/2026, 12:56:46;13;18;23;46;;;0
EVT-EN8JIHM2,FALSE,FALSE,,;;EVT-EN8JIHM2;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-EPDQDDJY,FALSE,FALSE,,;;EVT-EPDQDDJY;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-ETHUUH6J,FALSE,FALSE,,;;EVT-ETHUUH6J;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-EUDO3U1C,FALSE,FALSE,,;;EVT-EUDO3U1C;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-EW1R3SYM,FALSE,FALSE,,;;EVT-EW1R3SYM;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-F2DJBCA4,TRUE,TRUE,""14/05/2026, 17:31:18"",""15/05/2026, 21:10:01""";;EVT-F2DJBCA4;TRUE,;TRUE,;14/05/2026, 17:31:18;15/05/2026, 21:10:01;13;18;23;46;;;0
"EVT-F4B097BD,TRUE,TRUE,""14/05/2026, 17:49:44"",""15/05/2026, 14:24:21""";;EVT-F4B097BD;TRUE,;TRUE,;14/05/2026, 17:49:44;15/05/2026, 14:24:21;13;18;23;46;;;0
"EVT-F5YIQAKO,TRUE,FALSE,""14/05/2026, 17:39:35"",";;EVT-F5YIQAKO;TRUE,;FALSE,;14/05/2026, 17:39:35;;13;18;24;47;;EVT-F5YIQAKO;0
"EVT-F7U3X9E8,TRUE,TRUE,""14/05/2026, 17:47:13"",""17/05/2026, 13:22:56""";;EVT-F7U3X9E8;TRUE,;TRUE,;14/05/2026, 17:47:13;17/05/2026, 13:22:56;13;18;23;46;;;0
"EVT-F8LHRYP2,TRUE,TRUE,""16/05/2026, 12:43:36"",""16/05/2026, 12:44:31""";;EVT-F8LHRYP2;TRUE,;TRUE,;16/05/2026, 12:43:36;16/05/2026, 12:44:31;13;18;23;46;;;0
"EVT-F8N44RVJ,TRUE,TRUE,""17/05/2026, 12:36:40"",""17/05/2026, 12:37:08""";;EVT-F8N44RVJ;TRUE,;TRUE,;17/05/2026, 12:36:40;17/05/2026, 12:37:08;13;18;23;46;;;0
"EVT-F8U580E0,TRUE,TRUE,""16/05/2026, 14:02:26"",""16/05/2026, 14:03:48""";;EVT-F8U580E0;TRUE,;TRUE,;16/05/2026, 14:02:26;16/05/2026, 14:03:48;13;18;23;46;;;0
EVT-F9431FTY,FALSE,FALSE,,;;EVT-F9431FTY;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-FAHL3DOE,TRUE,TRUE,""14/05/2026, 11:51:54"",""17/05/2026, 14:31:05""";;EVT-FAHL3DOE;TRUE,;TRUE,;14/05/2026, 11:51:54;17/05/2026, 14:31:05;13;18;23;46;;;0
"EVT-FD31PA82,TRUE,TRUE,""15/05/2026, 13:58:46"",""15/05/2026, 14:00:44""";;EVT-FD31PA82;TRUE,;TRUE,;15/05/2026, 13:58:46;15/05/2026, 14:00:44;13;18;23;46;;;0
"EVT-FD94CCWU,TRUE,TRUE,""14/05/2026, 17:26:25"",""15/05/2026, 13:52:34""";;EVT-FD94CCWU;TRUE,;TRUE,;14/05/2026, 17:26:25;15/05/2026, 13:52:34;13;18;23;46;;;0
"EVT-FE97FXR5,TRUE,TRUE,""15/05/2026, 12:23:52"",""15/05/2026, 13:08:34""";;EVT-FE97FXR5;TRUE,;TRUE,;15/05/2026, 12:23:52;15/05/2026, 13:08:34;13;18;23;46;;;0
"EVT-FMI02WLA,TRUE,TRUE,""15/05/2026, 14:15:24"",""15/05/2026, 14:16:13""";;EVT-FMI02WLA;TRUE,;TRUE,;15/05/2026, 14:15:24;15/05/2026, 14:16:13;13;18;23;46;;;0
EVT-FNBZYSZM,FALSE,FALSE,,;;EVT-FNBZYSZM;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-FONHVDGN,TRUE,TRUE,""15/05/2026, 11:14:52"",""16/05/2026, 13:11:51""";;EVT-FONHVDGN;TRUE,;TRUE,;15/05/2026, 11:14:52;16/05/2026, 13:11:51;13;18;23;46;;;0
EVT-FSPSNREC,FALSE,FALSE,,;;EVT-FSPSNREC;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-FUZRT8SZ,FALSE,FALSE,,;;EVT-FUZRT8SZ;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-FZF82PVD,FALSE,FALSE,,;;EVT-FZF82PVD;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-G00S699K,FALSE,FALSE,,;;EVT-G00S699K;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-G49SDUM8,TRUE,FALSE,""14/05/2026, 17:31:13"",";;EVT-G49SDUM8;TRUE,;FALSE,;14/05/2026, 17:31:13;;13;18;24;47;;EVT-G49SDUM8;0
"EVT-G67555LK,TRUE,FALSE,""14/05/2026, 17:39:30"",";;EVT-G67555LK;TRUE,;FALSE,;14/05/2026, 17:39:30;;13;18;24;47;;EVT-G67555LK;0
"EVT-G80L6YGY,TRUE,FALSE,""14/05/2026, 17:49:39"",";;EVT-G80L6YGY;TRUE,;FALSE,;14/05/2026, 17:49:39;;13;18;24;47;;EVT-G80L6YGY;0
EVT-G8LF36GQ,FALSE,FALSE,,;;EVT-G8LF36GQ;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-GAVI00L8,TRUE,FALSE,""14/05/2026, 17:47:09"",";;EVT-GAVI00L8;TRUE,;FALSE,;14/05/2026, 17:47:09;;13;18;24;47;;EVT-GAVI00L8;0
"EVT-GAYAHUX4,TRUE,TRUE,""16/05/2026, 12:43:30"",""16/05/2026, 12:44:38""";;EVT-GAYAHUX4;TRUE,;TRUE,;16/05/2026, 12:43:30;16/05/2026, 12:44:38;13;18;23;46;;;0
"EVT-GKUMTC7O,TRUE,TRUE,""17/05/2026, 12:36:31"",""17/05/2026, 12:37:15""";;EVT-GKUMTC7O;TRUE,;TRUE,;17/05/2026, 12:36:31;17/05/2026, 12:37:15;13;18;23;46;;;0
"EVT-GN1PXRXD,TRUE,TRUE,""17/05/2026, 12:42:43"",""17/05/2026, 12:42:49""";;EVT-GN1PXRXD;TRUE,;TRUE,;17/05/2026, 12:42:43;17/05/2026, 12:42:49;13;18;23;46;;;0
EVT-GOC5TIU6,FALSE,FALSE,,;;EVT-GOC5TIU6;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-GOM3E2K7,TRUE,TRUE,""14/05/2026, 11:51:47"",""17/05/2026, 14:30:55""";;EVT-GOM3E2K7;TRUE,;TRUE,;14/05/2026, 11:51:47;17/05/2026, 14:30:55;13;18;23;46;;;0
"EVT-GPJZDAFB,TRUE,TRUE,""15/05/2026, 13:58:39"",""15/05/2026, 14:00:51""";;EVT-GPJZDAFB;TRUE,;TRUE,;15/05/2026, 13:58:39;15/05/2026, 14:00:51;13;18;23;46;;;0
"EVT-GRZOWOA9,TRUE,TRUE,""14/05/2026, 17:26:03"",""15/05/2026, 14:01:57""";;EVT-GRZOWOA9;TRUE,;TRUE,;14/05/2026, 17:26:03;15/05/2026, 14:01:57;13;18;23;46;;;0
"EVT-GT0C93KV,TRUE,TRUE,""15/05/2026, 12:23:49"",""15/05/2026, 13:33:44""";;EVT-GT0C93KV;TRUE,;TRUE,;15/05/2026, 12:23:49;15/05/2026, 13:33:44;13;18;23;46;;;0
"EVT-GUVU6LJL,TRUE,TRUE,""15/05/2026, 12:16:13"",""15/05/2026, 15:00:30""";;EVT-GUVU6LJL;TRUE,;TRUE,;15/05/2026, 12:16:13;15/05/2026, 15:00:30;13;18;23;46;;;0
EVT-GWLVH0ZH,FALSE,FALSE,,;;EVT-GWLVH0ZH;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-GYVU9DM3,TRUE,TRUE,""15/05/2026, 11:14:49"",""16/05/2026, 13:11:42""";;EVT-GYVU9DM3;TRUE,;TRUE,;15/05/2026, 11:14:49;16/05/2026, 13:11:42;13;18;23;46;;;0
EVT-GZOKL445,FALSE,FALSE,,;;EVT-GZOKL445;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-H2AMZJGA,FALSE,FALSE,,;;EVT-H2AMZJGA;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-H5V2YCK0,FALSE,FALSE,,;;EVT-H5V2YCK0;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-HEFNQ983,FALSE,FALSE,,;;EVT-HEFNQ983;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-HHM69ATT,FALSE,FALSE,,;;EVT-HHM69ATT;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-HHOLUXIE,TRUE,TRUE,""14/05/2026, 17:31:09"",""16/05/2026, 13:36:57""";;EVT-HHOLUXIE;TRUE,;TRUE,;14/05/2026, 17:31:09;16/05/2026, 13:36:57;13;18;23;46;;;0
"EVT-HKLCBT7Y,TRUE,TRUE,""15/05/2026, 13:08:58"",""15/05/2026, 13:09:28""";;EVT-HKLCBT7Y;TRUE,;TRUE,;15/05/2026, 13:08:58;15/05/2026, 13:09:28;13;18;23;46;;;0
"EVT-HM41U1F2,TRUE,FALSE,""14/05/2026, 17:39:27"",";;EVT-HM41U1F2;TRUE,;FALSE,;14/05/2026, 17:39:27;;13;18;24;47;;EVT-HM41U1F2;0
"EVT-HRGIZ1J0,TRUE,TRUE,""14/05/2026, 17:47:05"",""17/05/2026, 12:48:15""";;EVT-HRGIZ1J0;TRUE,;TRUE,;14/05/2026, 17:47:05;17/05/2026, 12:48:15;13;18;23;46;;;0
"EVT-HSPP7AXJ,TRUE,TRUE,""16/05/2026, 12:43:25"",""16/05/2026, 12:44:43""";;EVT-HSPP7AXJ;TRUE,;TRUE,;16/05/2026, 12:43:25;16/05/2026, 12:44:43;13;18;23;46;;;0
"EVT-HTITJX4J,TRUE,TRUE,""17/05/2026, 12:36:54"",""17/05/2026, 12:37:02""";;EVT-HTITJX4J;TRUE,;TRUE,;17/05/2026, 12:36:54;17/05/2026, 12:37:02;13;18;23;46;;;0
"EVT-HWCUY0P2,TRUE,TRUE,""16/05/2026, 14:34:34"",""16/05/2026, 14:35:42""";;EVT-HWCUY0P2;TRUE,;TRUE,;16/05/2026, 14:34:34;16/05/2026, 14:35:42;13;18;23;46;;;0
"EVT-HYWZZPSE,TRUE,TRUE,""17/05/2026, 13:27:58"",""17/05/2026, 13:28:04""";;EVT-HYWZZPSE;TRUE,;TRUE,;17/05/2026, 13:27:58;17/05/2026, 13:28:04;13;18;23;46;;;0
"EVT-I275G4YU,TRUE,TRUE,""14/05/2026, 17:25:54"",""15/05/2026, 14:23:30""";;EVT-I275G4YU;TRUE,;TRUE,;14/05/2026, 17:25:54;15/05/2026, 14:23:30;13;18;23;46;;;0
"EVT-I2WUTKZS,TRUE,FALSE,""14/05/2026, 11:51:40"",";;EVT-I2WUTKZS;TRUE,;FALSE,;14/05/2026, 11:51:40;;13;18;24;47;;EVT-I2WUTKZS;0
"EVT-I359TWCE,TRUE,TRUE,""15/05/2026, 12:23:46"",""15/05/2026, 13:33:51""";;EVT-I359TWCE;TRUE,;TRUE,;15/05/2026, 12:23:46;15/05/2026, 13:33:51;13;18;23;46;;;0
EVT-I3K9WWJ3,FALSE,FALSE,,;;EVT-I3K9WWJ3;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-I676ZNSK,TRUE,TRUE,""15/05/2026, 15:01:04"",""15/05/2026, 15:01:39""";;EVT-I676ZNSK;TRUE,;TRUE,;15/05/2026, 15:01:04;15/05/2026, 15:01:39;13;18;23;46;;;0
EVT-IBYJOHH3,FALSE,FALSE,,;;EVT-IBYJOHH3;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-IE4YMHI0,TRUE,TRUE,""14/05/2026, 17:52:43"",""15/05/2026, 14:59:16""";;EVT-IE4YMHI0;TRUE,;TRUE,;14/05/2026, 17:52:43;15/05/2026, 14:59:16;13;18;23;46;;;0
EVT-IKJH4ECO,FALSE,FALSE,,;;EVT-IKJH4ECO;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-IMQT2J03,FALSE,FALSE,,;;EVT-IMQT2J03;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-IQCLZ06A,FALSE,FALSE,,;;EVT-IQCLZ06A;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-IRET8GJV,FALSE,FALSE,,;;EVT-IRET8GJV;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
EVT-IRFO5W58,FALSE,FALSE,,;;EVT-IRFO5W58;FALSE,;FALSE,;;#VALOR!;13;19;25;#VALOR!;;#VALOR!;1
"EVT-IRW01TAM,TRUE,TRUE,""14/05/2026, 17:31:03"",""17/05/2026, 14:30:16""";;EVT-IRW01TAM;TRUE,;TRUE,;14/05/2026, 17:31:03;17/05/2026, 14:30:16;13;18;23;46;;;0
